ID     | Command line              | Date and time    | Action(s)      | Altered
    28 | install arduino-core ardu | 2017-03-22 16:35 | Install        |   46   
    27 | install subversion mercur | 2017-03-22 15:50 | Install        |    1   
    26 | install svn               | 2017-03-22 15:42 | Install        |    5   
    25 | install gcc-c++ git libpn | 2017-03-22 15:14 | Install        |   13   
    24 | install -y OpenImageIO-de | 2017-03-22 15:05 | Install        |   42   
    23 | install -y gcc gcc-c++ gi | 2017-03-22 15:04 | Install        |    2   
    22 | install libxslt libxslt-d | 2017-03-22 14:47 | Install        |    3   
    21 | install libgit2-devel     | 2017-03-22 14:46 | Install        |    2   
    20 | install openssl-devel     | 2017-03-22 14:44 | Install        |   11   
    19 | -y update                 | 2017-03-22 14:38 | Upgrade        |    6   
    18 | install clang clang-libs  | 2017-03-22 14:28 | Install        |    2   
    17 | install -y libffi-devel   | 2017-03-22 14:21 | Install        |    1   
    16 | install -y openexr-devel  | 2017-03-22 14:17 | Install        |    4   
    15 | install -y python3-numpy  | 2017-03-22 14:15 | Install        |    3   
    14 | install -y python3-devel  | 2017-03-22 14:15 | Install        |    4   
    13 | install -y libsndfile-dev | 2017-03-22 14:15 | Install        |    1   
    12 | install -y x264-devel     | 2017-03-22 14:15 | Install        |    1   
    11 | install -y gcc gcc-c++ gi | 2017-03-22 14:14 | Install        |   89   
    10 | groupinstall D Developmen | 2017-03-22 14:10 | Install        |    8   
     9 | groupinstall C Developmen | 2017-03-22 14:08 | Install        |   19   
     8 | update                    | 2017-03-22 14:06 | Upgrade        |    4   
     7 | install cmake cmake-gui   | 2017-03-22 13:57 | Install        |    4   
     6 | install git git-gui       | 2017-03-22 09:28 | Install        |   10  <
     5 | install vlc               | 2017-03-22 09:19 | Install        |   61 > 
     4 | install https://download1 | 2017-03-22 09:00 | Install        |    2   
     3 | install thunderbird       | 2017-03-21 10:35 | Install        |    1   
     2 | update                    | 2017-03-21 10:30 | I, U           |  536 EE
     1 |                           | 2016-11-15 22:15 | Install        | 1391 EE
